asset_id,system_id,asset_type,asset_name,validated,first_seen_ts,last_seen_ts
testbed_system_1_PLC_PLC_1,testbed_system_1,PLC,PLC_1,True,2025-09-18 22:18:25.456549+00:00,2025-09-18 22:18:25.456549+00:00
testbed_system_1_PLC_PLC_2,testbed_system_1,PLC,PLC_2,True,2025-09-18 22:18:25.474726+00:00,2025-09-18 22:18:25.474726+00:00
testbed_system_1_PLC_PLC_3,testbed_system_1,PLC,PLC_3,True,2025-09-18 22:18:25.477396+00:00,2025-09-18 22:18:25.477396+00:00
testbed_system_1_PLC_PLC_4,testbed_system_1,PLC,PLC_4,True,2025-09-18 22:18:25.480058+00:00,2025-09-18 22:18:25.480058+00:00
testbed_system_1_HMI_HMI_1,testbed_system_1,HMI,HMI_1,True,2025-09-18 22:18:25.482366+00:00,2025-09-18 22:18:25.482366+00:00
testbed_system_1_Field Instrument Controller_FIC_1,testbed_system_1,Field Instrument Controller,FIC_1,True,2025-09-18 22:18:25.484872+00:00,2025-09-18 22:18:25.484872+00:00
testbed_system_1_Field Instrument Controller_FIC_2,testbed_system_1,Field Instrument Controller,FIC_2,True,2025-09-18 22:18:25.487124+00:00,2025-09-18 22:18:25.487124+00:00
testbed_system_1_Tank_Tank_1,testbed_system_1,Tank,Tank_1,True,2025-09-18 22:18:25.488982+00:00,2025-09-18 22:18:25.488982+00:00
testbed_system_1_Tank_Tank_2,testbed_system_1,Tank,Tank_2,True,2025-09-18 22:18:25.491914+00:00,2025-09-18 22:18:25.491914+00:00
testbed_system_1_Tank_Tank_3,testbed_system_1,Tank,Tank_3,True,2025-09-18 22:18:25.494307+00:00,2025-09-18 22:18:25.494307+00:00
testbed_system_1_Tank_Tank_4,testbed_system_1,Tank,Tank_4,True,2025-09-18 22:18:25.496795+00:00,2025-09-18 22:18:25.496795+00:00
testbed_system_1_Tank_Tank_5,testbed_system_1,Tank,Tank_5,True,2025-09-18 22:18:25.499115+00:00,2025-09-18 22:18:25.499115+00:00
testbed_system_1_Tank_Tank_6,testbed_system_1,Tank,Tank_6,True,2025-09-18 22:18:25.501389+00:00,2025-09-18 22:18:25.501389+00:00
testbed_system_1_Tank_Tank_7,testbed_system_1,Tank,Tank_7,True,2025-09-18 22:18:25.503677+00:00,2025-09-18 22:18:25.503677+00:00
testbed_system_1_Tank_Tank_8,testbed_system_1,Tank,Tank_8,True,2025-09-18 22:18:25.505764+00:00,2025-09-18 22:18:25.505764+00:00
testbed_system_1_Pump_Pump_1,testbed_system_1,Pump,Pump_1,True,2025-09-18 22:18:25.507379+00:00,2025-09-18 22:18:25.507379+00:00
testbed_system_1_Pump_Pump_2,testbed_system_1,Pump,Pump_2,True,2025-09-18 22:18:25.509140+00:00,2025-09-18 22:18:25.509140+00:00
testbed_system_1_Pump_Pump_3,testbed_system_1,Pump,Pump_3,True,2025-09-18 22:18:25.511341+00:00,2025-09-18 22:18:25.511341+00:00
testbed_system_1_Pump_Pump_4,testbed_system_1,Pump,Pump_4,True,2025-09-18 22:18:25.513620+00:00,2025-09-18 22:18:25.513620+00:00
testbed_system_1_Pump_Pump_5,testbed_system_1,Pump,Pump_5,True,2025-09-18 22:18:25.515250+00:00,2025-09-18 22:18:25.515250+00:00
testbed_system_1_Pump_Pump_6,testbed_system_1,Pump,Pump_6,True,2025-09-18 22:18:25.516840+00:00,2025-09-18 22:18:25.516840+00:00
testbed_system_1_Flow Sensor_Flow_sensor_1,testbed_system_1,Flow Sensor,Flow_sensor_1,True,2025-09-18 22:18:25.518474+00:00,2025-09-18 22:18:25.518474+00:00
testbed_system_1_Flow Sensor_Flow_sensor_2,testbed_system_1,Flow Sensor,Flow_sensor_2,True,2025-09-18 22:18:25.520046+00:00,2025-09-18 22:18:25.520046+00:00
testbed_system_1_Flow Sensor_Flow_sensor_3,testbed_system_1,Flow Sensor,Flow_sensor_3,True,2025-09-18 22:18:25.521778+00:00,2025-09-18 22:18:25.521778+00:00
testbed_system_1_Flow Sensor_Flow_sensor_4,testbed_system_1,Flow Sensor,Flow_sensor_4,True,2025-09-18 22:18:25.523360+00:00,2025-09-18 22:18:25.523360+00:00
testbed_system_1_Valve_Valve_1,testbed_system_1,Valve,Valve_1,True,2025-09-18 22:18:25.525004+00:00,2025-09-18 22:18:25.525004+00:00
testbed_system_1_Valve_Valve_2,testbed_system_1,Valve,Valve_2,True,2025-09-18 22:18:25.526518+00:00,2025-09-18 22:18:25.526518+00:00
