measurement_id,asset_id,name,prop_key,first_seen_ts,last_seen_ts
testbed_system_1_Tank_Tank_1_Pressure,testbed_system_1_Tank_Tank_1,Pressure,pressure,2025-09-18 22:18:25.490035+00:00,2025-09-18 22:18:25.490035+00:00
testbed_system_1_Tank_Tank_2_Pressure,testbed_system_1_Tank_Tank_2,Pressure,pressure,2025-09-18 22:18:25.492969+00:00,2025-09-18 22:18:25.492969+00:00
testbed_system_1_Tank_Tank_3_Pressure,testbed_system_1_Tank_Tank_3,Pressure,pressure,2025-09-18 22:18:25.495381+00:00,2025-09-18 22:18:25.495381+00:00
testbed_system_1_Tank_Tank_4_Pressure,testbed_system_1_Tank_Tank_4,Pressure,pressure,2025-09-18 22:18:25.497843+00:00,2025-09-18 22:18:25.497843+00:00
testbed_system_1_Tank_Tank_5_Pressure,testbed_system_1_Tank_Tank_5,Pressure,pressure,2025-09-18 22:18:25.500016+00:00,2025-09-18 22:18:25.500016+00:00
testbed_system_1_Tank_Tank_6_Pressure,testbed_system_1_Tank_Tank_6,Pressure,pressure,2025-09-18 22:18:25.502684+00:00,2025-09-18 22:18:25.502684+00:00
testbed_system_1_Tank_Tank_7_Pressure,testbed_system_1_Tank_Tank_7,Pressure,pressure,2025-09-18 22:18:25.504633+00:00,2025-09-18 22:18:25.504633+00:00
testbed_system_1_Tank_Tank_8_Pressure,testbed_system_1_Tank_Tank_8,Pressure,pressure,2025-09-18 22:18:25.506536+00:00,2025-09-18 22:18:25.506536+00:00
testbed_system_1_Pump_Pump_1_state,testbed_system_1_Pump_Pump_1,state,state,2025-09-18 22:18:25.508054+00:00,2025-09-18 22:18:25.508054+00:00
testbed_system_1_Pump_Pump_2_state,testbed_system_1_Pump_Pump_2,state,state,2025-09-18 22:18:25.510123+00:00,2025-09-18 22:18:25.510123+00:00
testbed_system_1_Pump_Pump_3_state,testbed_system_1_Pump_Pump_3,state,state,2025-09-18 22:18:25.512441+00:00,2025-09-18 22:18:25.512441+00:00
testbed_system_1_Pump_Pump_4_state,testbed_system_1_Pump_Pump_4,state,state,2025-09-18 22:18:25.514425+00:00,2025-09-18 22:18:25.514425+00:00
testbed_system_1_Pump_Pump_5_state,testbed_system_1_Pump_Pump_5,state,state,2025-09-18 22:18:25.516095+00:00,2025-09-18 22:18:25.516095+00:00
testbed_system_1_Pump_Pump_6_state,testbed_system_1_Pump_Pump_6,state,state,2025-09-18 22:18:25.517620+00:00,2025-09-18 22:18:25.517620+00:00
testbed_system_1_Flow Sensor_Flow_sensor_1_Flow Sensor Value,testbed_system_1_Flow Sensor_Flow_sensor_1,Flow Sensor Value,value,2025-09-18 22:18:25.519254+00:00,2025-09-18 22:18:25.519254+00:00
testbed_system_1_Flow Sensor_Flow_sensor_2_Flow Sensor Value,testbed_system_1_Flow Sensor_Flow_sensor_2,Flow Sensor Value,value,2025-09-18 22:18:25.520878+00:00,2025-09-18 22:18:25.520878+00:00
testbed_system_1_Flow Sensor_Flow_sensor_3_Flow Sensor Value,testbed_system_1_Flow Sensor_Flow_sensor_3,Flow Sensor Value,value,2025-09-18 22:18:25.522471+00:00,2025-09-18 22:18:25.522471+00:00
testbed_system_1_Flow Sensor_Flow_sensor_4_Flow Sensor Value,testbed_system_1_Flow Sensor_Flow_sensor_4,Flow Sensor Value,value,2025-09-18 22:18:25.524121+00:00,2025-09-18 22:18:25.524121+00:00
testbed_system_1_Valve_Valve_1_state,testbed_system_1_Valve_Valve_1,state,state,2025-09-18 22:18:25.525736+00:00,2025-09-18 22:18:25.525736+00:00
testbed_system_1_Valve_Valve_2_state,testbed_system_1_Valve_Valve_2,state,state,2025-09-18 22:18:25.527256+00:00,2025-09-18 22:18:25.527256+00:00
testbed_system_1_Valve_Valve_3_state,testbed_system_1_Valve_Valve_3,state,state,2025-09-18 22:18:25.528872+00:00,2025-09-18 22:18:25.528872+00:00
testbed_system_1_Valve_Valve_4_state,testbed_system_1_Valve_Valve_4,state,state,2025-09-18 22:18:25.530361+00:00,2025-09-18 22:18:25.530361+00:00
testbed_system_1_Valve_Valve_5_state,testbed_system_1_Valve_Valve_5,state,state,2025-09-18 22:18:25.531921+00:00,2025-09-18 22:18:25.531921+00:00
testbed_system_1_Valve_Valve_6_state,testbed_system_1_Valve_Valve_6,state,state,2025-09-18 22:18:25.533978+00:00,2025-09-18 22:18:25.533978+00:00
testbed_system_1_Valve_Valve_7_state,testbed_system_1_Valve_Valve_7,state,state,2025-09-18 22:18:25.535795+00:00,2025-09-18 22:18:25.535795+00:00
testbed_system_1_Valve_Valve_8_state,testbed_system_1_Valve_Valve_8,state,state,2025-09-18 22:18:25.537400+00:00,2025-09-18 22:18:25.537400+00:00
testbed_system_1_Valve_Valve_9_state,testbed_system_1_Valve_Valve_9,state,state,2025-09-18 22:18:25.539227+00:00,2025-09-18 22:18:25.539227+00:00
testbed_system_1_Valve_Valve_10_state,testbed_system_1_Valve_Valve_10,state,state,2025-09-18 22:18:25.540837+00:00,2025-09-18 22:18:25.540837+00:00
testbed_system_1_Valve_Valve_11_state,testbed_system_1_Valve_Valve_11,state,state,2025-09-18 22:18:25.542541+00:00,2025-09-18 22:18:25.542541+00:00
testbed_system_1_Valve_Valve_12_state,testbed_system_1_Valve_Valve_12,state,state,2025-09-18 22:18:25.544346+00:00,2025-09-18 22:18:25.544346+00:00
testbed_system_1_Valve_Valve_13_state,testbed_system_1_Valve_Valve_13,state,state,2025-09-18 22:18:25.546170+00:00,2025-09-18 22:18:25.546170+00:00
testbed_system_1_Valve_Valve_14_state,testbed_system_1_Valve_Valve_14,state,state,2025-09-18 22:18:25.548239+00:00,2025-09-18 22:18:25.548239+00:00
testbed_system_1_Valve_Valve_15_state,testbed_system_1_Valve_Valve_15,state,state,2025-09-18 22:18:25.550055+00:00,2025-09-18 22:18:25.550055+00:00
testbed_system_1_Valve_Valve_16_state,testbed_system_1_Valve_Valve_16,state,state,2025-09-18 22:18:25.551745+00:00,2025-09-18 22:18:25.551745+00:00
testbed_system_1_Valve_Valve_17_state,testbed_system_1_Valve_Valve_17,state,state,2025-09-18 22:18:25.553651+00:00,2025-09-18 22:18:25.553651+00:00
testbed_system_1_Valve_Valve_18_state,testbed_system_1_Valve_Valve_18,state,state,2025-09-18 22:18:25.555470+00:00,2025-09-18 22:18:25.555470+00:00
testbed_system_1_Valve_Valve_19_state,testbed_system_1_Valve_Valve_19,state,state,2025-09-18 22:18:25.557194+00:00,2025-09-18 22:18:25.557194+00:00
testbed_system_1_Valve_Valve_20_state,testbed_system_1_Valve_Valve_20,state,state,2025-09-18 22:18:25.558945+00:00,2025-09-18 22:18:25.558945+00:00
