asset_id,system_id,asset_type,asset_name,validated,first_seen_ts,last_seen_ts
testbed_system_1_PLC_PLC_1,testbed_system_1,PLC,PLC_1,True,2025-09-26 02:30:43.631553+00:00,2025-09-26 02:30:43.631553+00:00
testbed_system_1_PLC_PLC_2,testbed_system_1,PLC,PLC_2,True,2025-09-26 02:30:43.646933+00:00,2025-09-26 02:30:43.646933+00:00
testbed_system_1_PLC_PLC_3,testbed_system_1,PLC,PLC_3,True,2025-09-26 02:30:43.652020+00:00,2025-09-26 02:30:43.652020+00:00
testbed_system_1_PLC_PLC_4,testbed_system_1,PLC,PLC_4,True,2025-09-26 02:30:43.656134+00:00,2025-09-26 02:30:43.656134+00:00
testbed_system_1_HMI_HMI_1,testbed_system_1,HMI,HMI_1,True,2025-09-26 02:30:43.660468+00:00,2025-09-26 02:30:43.660468+00:00
testbed_system_1_Flow Sensor_Flow_sensor_1,testbed_system_1,Flow Sensor,Flow_sensor_1,True,2025-09-26 02:30:43.668213+00:00,2025-09-26 02:30:43.668213+00:00
testbed_system_1_Flow Sensor_Flow_sensor_2,testbed_system_1,Flow Sensor,Flow_sensor_2,True,2025-09-26 02:30:43.676064+00:00,2025-09-26 02:30:43.676064+00:00
testbed_system_1_Tank_Tank_1,testbed_system_1,Tank,Tank_1,True,2025-09-26 02:30:43.679349+00:00,2025-09-26 02:30:43.679349+00:00
testbed_system_1_Tank_Tank_2,testbed_system_1,Tank,Tank_2,True,2025-09-26 02:30:43.687992+00:00,2025-09-26 02:30:43.687992+00:00
testbed_system_1_Tank_Tank_3,testbed_system_1,Tank,Tank_3,True,2025-09-26 02:30:43.694765+00:00,2025-09-26 02:30:43.694765+00:00
testbed_system_1_Tank_Tank_4,testbed_system_1,Tank,Tank_4,True,2025-09-26 02:30:43.697610+00:00,2025-09-26 02:30:43.697610+00:00
testbed_system_1_Tank_Tank_5,testbed_system_1,Tank,Tank_5,True,2025-09-26 02:30:43.705101+00:00,2025-09-26 02:30:43.705101+00:00
testbed_system_1_Tank_Tank_6,testbed_system_1,Tank,Tank_6,True,2025-09-26 02:30:43.710562+00:00,2025-09-26 02:30:43.710562+00:00
testbed_system_1_Tank_Tank_7,testbed_system_1,Tank,Tank_7,True,2025-09-26 02:30:43.715110+00:00,2025-09-26 02:30:43.715110+00:00
testbed_system_1_Tank_Tank_8,testbed_system_1,Tank,Tank_8,True,2025-09-26 02:30:43.718430+00:00,2025-09-26 02:30:43.718430+00:00
testbed_system_1_Pump_Pump_1,testbed_system_1,Pump,Pump_1,True,2025-09-26 02:30:43.722300+00:00,2025-09-26 02:30:43.722300+00:00
testbed_system_1_Pump_Pump_2,testbed_system_1,Pump,Pump_2,True,2025-09-26 02:30:43.726077+00:00,2025-09-26 02:30:43.726077+00:00
testbed_system_1_Pump_Pump_3,testbed_system_1,Pump,Pump_3,True,2025-09-26 02:30:43.732891+00:00,2025-09-26 02:30:43.732891+00:00
testbed_system_1_Pump_Pump_4,testbed_system_1,Pump,Pump_4,True,2025-09-26 02:30:43.741225+00:00,2025-09-26 02:30:43.741225+00:00
testbed_system_1_Pump_Pump_5,testbed_system_1,Pump,Pump_5,True,2025-09-26 02:30:43.743456+00:00,2025-09-26 02:30:43.743456+00:00
testbed_system_1_Pump_Pump_6,testbed_system_1,Pump,Pump_6,True,2025-09-26 02:30:43.746118+00:00,2025-09-26 02:30:43.746118+00:00
testbed_system_1_Flow_sensor_Flow_sensor_1,testbed_system_1,Flow_sensor,Flow_sensor_1,True,2025-09-26 02:30:43.753627+00:00,2025-09-26 02:30:43.753627+00:00
testbed_system_1_Flow_sensor_Flow_sensor_2,testbed_system_1,Flow_sensor,Flow_sensor_2,True,2025-09-26 02:30:43.771267+00:00,2025-09-26 02:30:43.771267+00:00
testbed_system_1_Flow_sensor_Flow_sensor_3,testbed_system_1,Flow_sensor,Flow_sensor_3,True,2025-09-26 02:30:43.785290+00:00,2025-09-26 02:30:43.785290+00:00
testbed_system_1_Flow_sensor_Flow_sensor_4,testbed_system_1,Flow_sensor,Flow_sensor_4,True,2025-09-26 02:30:43.811175+00:00,2025-09-26 02:30:43.811175+00:00
testbed_system_1_Valv_Valv_1,testbed_system_1,Valv,Valv_1,True,2025-09-26 02:30:43.817144+00:00,2025-09-26 02:30:43.817144+00:00
testbed_system_1_Valv_Valv_2,testbed_system_1,Valv,Valv_2,True,2025-09-26 02:30:43.826239+00:00,2025-09-26 02:30:43.826239+00:00
testbed_system_1_Valv_Valv_3,testbed_system_1,Valv,Valv_3,True,2025-09-26 02:30:43.830435+00:00,2025-09-26 02:30:43.830435+00:00
testbed_system_1_Valv_Valv_4,testbed_system_1,Valv,Valv_4,True,2025-09-26 02:30:43.841002+00:00,2025-09-26 02:30:43.841002+00:00
testbed_system_1_Valv_Valv_5,testbed_system_1,Valv,Valv_5,True,2025-09-26 02:30:43.844489+00:00,2025-09-26 02:30:43.844489+00:00
testbed_system_1_Valv_Valv_6,testbed_system_1,Valv,Valv_6,True,2025-09-26 02:30:43.857345+00:00,2025-09-26 02:30:43.857345+00:00
testbed_system_1_Valv_Valv_7,testbed_system_1,Valv,Valv_7,True,2025-09-26 02:30:43.864746+00:00,2025-09-26 02:30:43.864746+00:00
testbed_system_1_Valv_Valv_8,testbed_system_1,Valv,Valv_8,True,2025-09-26 02:30:43.876077+00:00,2025-09-26 02:30:43.876077+00:00
testbed_system_1_Valv_Valv_9,testbed_system_1,Valv,Valv_9,True,2025-09-26 02:30:43.885983+00:00,2025-09-26 02:30:43.885983+00:00
testbed_system_1_Valv_Valv_10,testbed_system_1,Valv,Valv_10,True,2025-09-26 02:30:43.892327+00:00,2025-09-26 02:30:43.892327+00:00
testbed_system_1_Valv_Valv_11,testbed_system_1,Valv,Valv_11,True,2025-09-26 02:30:43.898699+00:00,2025-09-26 02:30:43.898699+00:00
testbed_system_1_Valv_Valv_12,testbed_system_1,Valv,Valv_12,True,2025-09-26 02:30:43.900984+00:00,2025-09-26 02:30:43.900984+00:00
testbed_system_1_Valv_Valv_13,testbed_system_1,Valv,Valv_13,True,2025-09-26 02:30:43.909533+00:00,2025-09-26 02:30:43.909533+00:00
testbed_system_1_Valv_Valv_14,testbed_system_1,Valv,Valv_14,True,2025-09-26 02:30:43.913807+00:00,2025-09-26 02:30:43.913807+00:00
