measurement_id,asset_id,name,prop_key,first_seen_ts,last_seen_ts
testbed_system_1_Tank_Tank_1_Pressure,testbed_system_1_Tank_Tank_1,Pressure,pressure,2025-09-26 02:30:43.680995+00:00,2025-09-26 02:30:43.680995+00:00
testbed_system_1_Tank_Tank_2_Pressure,testbed_system_1_Tank_Tank_2,Pressure,pressure,2025-09-26 02:30:43.692381+00:00,2025-09-26 02:30:43.692381+00:00
testbed_system_1_Tank_Tank_3_Pressure,testbed_system_1_Tank_Tank_3,Pressure,pressure,2025-09-26 02:30:43.695926+00:00,2025-09-26 02:30:43.695926+00:00
testbed_system_1_Tank_Tank_4_Pressure,testbed_system_1_Tank_Tank_4,Pressure,pressure,2025-09-26 02:30:43.699207+00:00,2025-09-26 02:30:43.699207+00:00
testbed_system_1_Tank_Tank_5_Pressure,testbed_system_1_Tank_Tank_5,Pressure,pressure,2025-09-26 02:30:43.707388+00:00,2025-09-26 02:30:43.707388+00:00
testbed_system_1_Tank_Tank_6_Pressure,testbed_system_1_Tank_Tank_6,Pressure,pressure,2025-09-26 02:30:43.712602+00:00,2025-09-26 02:30:43.712602+00:00
testbed_system_1_Tank_Tank_7_Pressure,testbed_system_1_Tank_Tank_7,Pressure,pressure,2025-09-26 02:30:43.716830+00:00,2025-09-26 02:30:43.716830+00:00
testbed_system_1_Tank_Tank_8_Pressure,testbed_system_1_Tank_Tank_8,Pressure,pressure,2025-09-26 02:30:43.721007+00:00,2025-09-26 02:30:43.721007+00:00
testbed_system_1_Pump_Pump_1_State,testbed_system_1_Pump_Pump_1,State,state,2025-09-26 02:30:43.724072+00:00,2025-09-26 02:30:43.724072+00:00
testbed_system_1_Pump_Pump_2_State,testbed_system_1_Pump_Pump_2,State,state,2025-09-26 02:30:43.729214+00:00,2025-09-26 02:30:43.729214+00:00
testbed_system_1_Pump_Pump_3_State,testbed_system_1_Pump_Pump_3,State,state,2025-09-26 02:30:43.737269+00:00,2025-09-26 02:30:43.737269+00:00
testbed_system_1_Pump_Pump_4_State,testbed_system_1_Pump_Pump_4,State,state,2025-09-26 02:30:43.742376+00:00,2025-09-26 02:30:43.742376+00:00
testbed_system_1_Pump_Pump_5_State,testbed_system_1_Pump_Pump_5,State,state,2025-09-26 02:30:43.744803+00:00,2025-09-26 02:30:43.744803+00:00
testbed_system_1_Pump_Pump_6_State,testbed_system_1_Pump_Pump_6,State,state,2025-09-26 02:30:43.747547+00:00,2025-09-26 02:30:43.747547+00:00
testbed_system_1_Flow_sensor_Flow_sensor_1_Value,testbed_system_1_Flow_sensor_Flow_sensor_1,Value,value,2025-09-26 02:30:43.764720+00:00,2025-09-26 02:30:43.764720+00:00
testbed_system_1_Flow_sensor_Flow_sensor_2_Value,testbed_system_1_Flow_sensor_Flow_sensor_2,Value,value,2025-09-26 02:30:43.775979+00:00,2025-09-26 02:30:43.775979+00:00
