type,a,b,stage,notes
IN_STAGE,Tank_1,Stage_1,,Real plant groupings
IN_STAGE,Tank_2,Stage_1,,
IN_STAGE,Tank_3,Stage_1,,
IN_STAGE,Tank_4,Stage_1,,
IN_STAGE,Tank_5,Stage_1,,
IN_STAGE,Pressure_sensor_1,Stage_1,,
IN_STAGE,Pressure_sensor_2,Stage_1,,
IN_STAGE,Pressure_sensor_3,Stage_1,,
IN_STAGE,Pressure_sensor_4,Stage_1,,
IN_STAGE,Pressure_sensor_5,Stage_1,,
IN_STAGE,Pump_2,Stage_1,,
IN_STAGE,Pump_4,Stage_1,,
IN_STAGE,Valv_10,Stage_1,,
IN_STAGE,Valv_11,Stage_1,,
IN_STAGE,Valv_12,Stage_1,,
IN_STAGE,Valv_13,Stage_1,,
IN_STAGE,Valv_14,Stage_1,,
IN_STAGE,Valv_15,Stage_1,,
IN_STAGE,Valv_16,Stage_1,,
IN_STAGE,Valv_17,Stage_1,,
IN_STAGE,Valv_18,Stage_1,,
IN_STAGE,Valv_19,Stage_1,,

IN_STAGE,Tank_6,Stage_2,,
IN_STAGE,Pressure_sensor_6,Stage_2,,
IN_STAGE,Flow_sensor_1,Stage_2,,

IN_STAGE,Tank_7,Stage_3,,
IN_STAGE,Pressure_sensor_7,Stage_3,,
IN_STAGE,Pump_5,Stage_3,,
IN_STAGE,Flow_sensor_2,Stage_3,,

IN_STAGE,Tank_8,Stage_4,,
IN_STAGE,Pressure_sensor_8,Stage_4,,
IN_STAGE,Pump_6,Stage_4,,
IN_STAGE,Flow_sensor_3,Stage_4,,
IN_STAGE,Flow_sensor_4,Stage_4,,
IN_STAGE,Valv_22,Stage_4,,

FEEDS_TO,RESERVOIR,Pump_1,,Stage 1 Inner Loop
FEEDS_TO,RESERVOIR,Pump_3,,This pump is not used
FEEDS_TO,Pump_1,Tank_2,,
FEEDS_TO,Pump_3,Tank_2,,This pump is not used
FEEDS_TO,Tank_2,Valv_17,,
FEEDS_TO,Valv_17,Tank_3,,
FEEDS_TO,Tank_3,Valv_12,,
FEEDS_TO,Tank_3,Valv_11,,
FEEDS_TO,Tank_3,Valv_10,,
FEEDS_TO,Valv_10,RESERVOIR,,
FEEDS_TO,Valv_11,RESERVOIR,,
FEEDS_TO,Valv_12,RESERVOIR,,

FEEDS_TO,RESERVOIR,Pump_2,,Stage 1 Outer Loop
FEEDS_TO,Pump_2,Tank_1,,
FEEDS_TO,Tank_1,Valv_18,,
FEEDS_TO,Valv_18,Tank_4,,
FEEDS_TO,Tank_4,Valv_16,,
FEEDS_TO,Valv_16,Tank_3,,
FEEDS_TO,Tank_4,Valv_15,,
FEEDS_TO,Tank_4,Valv_14,,
FEEDS_TO,Tank_4,Valv_13,,
FEEDS_TO,Valv_13,RESERVOIR,,
FEEDS_TO,Valv_14,RESERVOIR,,
FEEDS_TO,Valv_15,RESERVOIR,,

FEEDS_TO,Tank_1,Valv_9,,
FEEDS_TO,Valv_9,Tank_2,,

FEEDS_TO,Tank_1,Valv_1,,
FEEDS_TO,Tank_1,Valv_2,,
FEEDS_TO,Tank_1,Valv_3,,
FEEDS_TO,Tank_1,Valv_4,,

FEEDS_TO,Valv_1,RESERVOIR,,
FEEDS_TO,Valv_2,RESERVOIR,,
FEEDS_TO,Valv_3,RESERVOIR,,
FEEDS_TO,Valv_4,RESERVOIR,,

FEEDS_TO,Tank_2,Valv_5,,
FEEDS_TO,Tank_2,Valv_6,,
FEEDS_TO,Tank_2,Valv_7,,
FEEDS_TO,Tank_2,Valv_8,,

FEEDS_TO,Valv_5,RESERVOIR,,
FEEDS_TO,Valv_6,RESERVOIR,,
FEEDS_TO,Valv_7,RESERVOIR,,
FEEDS_TO,Valv_8,RESERVOIR,,

FEEDS_TO,Tank_1,Pump_4,,
FEEDS_TO,Pump_4,Tank_5,,
FEEDS_TO,Tank_5,Valv_19,,
FEEDS_TO,Valv_19,RESERVOIR,,

FEEDS_TO,Tank_5,Valv_20,,Transition to Stage 2 / Simulated partition
FEEDS_TO,Valv_20,Tank_6,,

FEEDS_TO,Tank_6,Pump_5,,Enter Stage 3
FEEDS_THROUGH,Pump_5,Flow_sensor_1,,
FEEDS_TO,Flow_sensor_1,Tank_7,,
FEEDS_TO,Tank_7,Valv_21,,
